交易日期,交易时间,收入,支出,余额,交易类型,交易备注
	20230429,	16:18:44,,22.70,0.00,	银联快捷支付,	美团 - 美团支付 -KKV 南京新城市广场主力店
	20230429,	16:18:44,22.70,,22.70,	朝朝宝赎回,	朝朝宝
	20230429,	09:00:46,,37.00,0.00,	银联快捷支付,	财付通 - 微信支付 - 肯德基
	20230429,	09:00:46,37.00,,37.00,	朝朝宝赎回,	朝朝宝
	20230429,	08:47:17,,4.60,0.00,	网联协议支付,	财付通 - 上海全家便利店
	20230429,	08:47:17,4.60,,4.60,	朝朝宝赎回,	朝朝宝
	20230428,	23:23:08,,17.95,0.00,	银联快捷支付,	美团 - 美团支付 - 世纪华联超市塘桥店
	20230428,	23:23:08,17.95,,17.95,	朝朝宝赎回,	朝朝宝
	20230428,	22:00:02,,3000.00,0.00,	银联快捷支付,	财付通 - 微信支付 - 扫二维码付款
	20230428,	22:00:02,3000.00,,3000.00,	朝朝宝赎回,	朝朝宝
	20230428,	18:48:12,,25.31,0.00,	银联快捷支付,	美团 - 美团支付 - 美团支付
	20230428,	18:48:12,25.31,,25.31,	朝朝宝赎回,	朝朝宝
	20230428,	18:29:06,,38.00,0.00,	银联快捷支付,	财付通 - 微信支付 - 青茄子浏阳蒸菜（世博鲁能国际店）
	20230428,	18:29:06,38.00,,38.00,	朝朝宝赎回,	朝朝宝
	20230428,	16:01:40,,5.00,0.00,	网联协议支付,	财付通 -7-11 上海
	20230428,	16:01:40,5.00,,5.00,	朝朝宝赎回,	朝朝宝
	20230428,	11:30:49,,40.00,0.00,	银联快捷支付,	财付通 - 微信支付 - 上海乡村基餐饮管理有限公司
	20230428,	11:30:49,40.00,,40.00,	朝朝宝赎回,	朝朝宝
	20230428,	08:59:24,,3.00,0.00,	网联协议支付,	财付通 - 扫二维码付款
	20230428,	08:59:24,3.00,,3.00,	朝朝宝赎回,	朝朝宝
	20230428,	02:16:08,,200.00,0.00,	基金定期定额申购,	006594
	20230428,	02:16:08,200.00,,200.00,	朝朝宝赎回,	朝朝宝
	20230427,	20:44:58,,12.60,0.00,	网联协议支付,	财付通 - 沪闽酥
	20230427,	20:44:58,12.60,,12.60,	朝朝宝赎回,	朝朝宝
	20230427,	16:04:07,,5.00,0.00,	银联快捷支付,	财付通 - 微信支付 -7-11 上海
	20230427,	16:04:07,5.00,,5.00,	朝朝宝赎回,	朝朝宝
	20230427,	11:34:28,,36.00,0.00,	网联协议支付,	财付通 - 上海乡村基餐饮管理有
	20230427,	11:34:28,10.00,,36.00,	朝朝宝赎回,	朝朝宝
	20230427,	08:57:57,,5.00,26.00,	网联协议支付,	财付通 - 巴 + 比 + 馒 + 头
	20230426,	20:47:18,,2.00,31.00,	银联快捷支付,	财付通 - 微信支付 - 袁记凉皮上海蓝村路店
	20230426,	20:41:04,,58.00,33.00,	网联协议支付,	财付通 - 扫二维码付款
	20230426,	18:48:29,,71.00,91.00,	网联协议支付,	财付通 - 上海乡村基餐饮管理有
	20230426,	12:00:17,,33.00,162.00,	网联协议支付,	财付通 - 上海乡村基餐饮管理有
	20230426,	08:54:17,,5.00,195.00,	网联协议支付,	财付通 - 巴 + 比 + 馒 + 头
	20230426,	00:39:39,,1059.18,200.00,	朝朝宝购买,	8922|042620230426083500000070
	20230426,	00:39:39,,2000.00,1259.18,	朝朝宝购买,	8921|042620230426083500002168
	20230426,	00:39:39,,2000.00,3259.18,	朝朝宝购买,	8924|042620230426083500000674
	20230426,	00:39:39,,2000.00,5259.18,	朝朝宝购买,	8923|042620230426083500000359
	20230426,	00:39:39,,1740.82,7259.18,	朝朝宝购买,	8920|042620230426083500000069
	20230425,	17:30:14,9000.00,,9000.00,	客户转账,	转账   陶阳
	20230425,	11:49:17,,37.00,0.00,	网联协议支付,	财付通 - 大米先生（上海）
	20230425,	11:49:17,37.00,,37.00,	朝朝宝赎回,	朝朝宝
	20230425,	08:52:42,,5.00,0.00,	网联协议支付,	财付通 - 巴 + 比 + 馒 + 头
	20230425,	08:52:42,5.00,,5.00,	朝朝宝赎回,	朝朝宝
	20230424,	19:48:08,,228.00,0.00,	网联协议支付,	财付通 - 优衣库
	20230424,	19:48:08,228.00,,228.00,	朝朝宝赎回,	朝朝宝
	20230424,	17:42:48,,18.00,0.00,	银联快捷支付,	财付通 - 微信支付 -7-11 上海
	20230424,	17:42:48,18.00,,18.00,	朝朝宝赎回,	朝朝宝
	20230424,	11:56:17,,46.00,0.00,	网联协议支付,	财付通 - 大米先生（上海）
	20230424,	11:56:17,46.00,,46.00,	朝朝宝赎回,	朝朝宝
	20230424,	08:44:35,,5.00,0.00,	银联快捷支付,	财付通 - 微信支付 - 巴 + 比 + 馒 + 头
	20230424,	08:44:35,5.00,,5.00,	朝朝宝赎回,	朝朝宝
	20230423,	21:21:46,,277.00,0.00,	银联快捷支付,	财付通 - 微信支付 - 微信转账
	20230423,	21:21:46,277.00,,277.00,	朝朝宝赎回,	朝朝宝
	20230423,	18:23:53,,29.76,0.00,	网联协议支付,	财付通 - 美团
	20230423,	18:23:53,29.76,,29.76,	朝朝宝赎回,	朝朝宝
	20230423,	11:56:41,,30.90,0.00,	银联快捷支付,	美团 - 美团支付 - 大米先生陆家嘴滨江中心店
	20230423,	11:56:41,30.90,,30.90,	朝朝宝赎回,	朝朝宝
	20230422,	17:00:31,,52.00,0.00,	银联快捷支付,	美团 - 美团支付 - 麦当劳麦咖啡上海蓝村路店
	20230422,	17:00:31,52.00,,52.00,	朝朝宝赎回,	朝朝宝
	20230422,	07:45:10,,19.80,0.00,	银联快捷支付,	美团 - 美团支付 - 巴比馒头浦电路店
	20230422,	07:45:10,19.80,,19.80,	朝朝宝赎回,	朝朝宝
	20230421,	22:29:10,,260.00,0.00,	网联协议支付,	财付通 - 微信转账
	20230421,	22:29:10,260.00,,260.00,	朝朝宝赎回,	朝朝宝
	20230421,	18:47:17,,18.13,0.00,	网联协议支付,	财付通 - 美团
	20230421,	18:47:17,18.13,,18.13,	朝朝宝赎回,	朝朝宝
	20230421,	11:39:44,,35.00,0.00,	网联协议支付,	财付通 - 大米先生（上海）
	20230421,	11:39:44,35.00,,35.00,	朝朝宝赎回,	朝朝宝
	20230421,	09:47:50,,14.30,0.00,	银联快捷支付,	美团 - 美团支付 - 世纪华联超市八佰伴店
	20230421,	09:46:32,14.30,,14.30,	银联快捷支付,	美团 - 美团支付
	20230421,	09:46:24,,14.30,0.00,	银联快捷支付,	美团 - 美团支付 - 世纪华联超市八佰伴店
	20230421,	09:46:24,14.30,,14.30,	朝朝宝赎回,	朝朝宝
	20230421,	08:52:34,,3.00,0.00,	网联协议支付,	财付通 - 巴 + 比 + 馒 + 头
	20230421,	08:52:34,3.00,,3.00,	朝朝宝赎回,	朝朝宝
	20230421,	02:12:39,,200.00,0.00,	基金定期定额申购,	006594
	20230421,	02:12:39,200.00,,200.00,	朝朝宝赎回,	朝朝宝
	20230420,	23:59:07,,70.00,0.00,	网联协议支付,	财付通 -
	20230420,	23:59:07,70.00,,70.00,	朝朝宝赎回,	朝朝宝
	20230420,	21:54:48,,25.50,0.00,	银联快捷支付,	美团 - 美团支付 - 世纪华联
	20230420,	21:54:48,25.50,,25.50,	朝朝宝赎回,	朝朝宝
	20230420,	15:11:53,,18.00,0.00,	网联协议支付,	财付通 -7-11 上海
	20230420,	15:11:53,18.00,,18.00,	朝朝宝赎回,	朝朝宝
	20230420,	11:50:18,,36.00,0.00,	网联协议支付,	财付通 - 大米先生（上海）
	20230420,	11:50:18,36.00,,36.00,	朝朝宝赎回,	朝朝宝
	20230420,	11:46:32,,35.00,0.00,	网联协议支付,	财付通 - 微信红包
	20230420,	11:46:32,35.00,,35.00,	朝朝宝赎回,	朝朝宝
	20230420,	08:51:40,,5.00,0.00,	网联协议支付,	财付通 - 巴 + 比 + 馒 + 头
	20230420,	08:51:40,5.00,,5.00,	朝朝宝赎回,	朝朝宝
	20230419,	14:34:14,,28.26,0.00,	银联快捷支付,	美团 - 美团支付 - 世纪华联超市塘桥店
	20230419,	14:34:14,28.26,,28.26,	朝朝宝赎回,	朝朝宝
	20230419,	11:49:01,,49.00,0.00,	银联快捷支付,	财付通 - 微信支付 - 大米先生（上海）
	20230419,	11:49:01,49.00,,49.00,	朝朝宝赎回,	朝朝宝
	20230419,	08:52:48,,3.00,0.00,	网联协议支付,	财付通 - 巴 + 比 + 馒 + 头
	20230419,	08:52:48,3.00,,3.00,	朝朝宝赎回,	朝朝宝
	20230418,	23:15:12,,29.00,0.00,	银联快捷支付,	美团 - 美团支付 - 喜姐炸串蓝村路店
	20230418,	23:15:12,29.00,,29.00,	朝朝宝赎回,	朝朝宝
